pair_id,office_id,radio,channel,priority,release_time_slot,deadline_slot,schedule_slot,schedule_time_ms,ble_channel_mode,ble_ce_channel_summary,start_time_slot,wifi_anchor_slot,wifi_period_slots,wifi_period_ms,wifi_tx_slots,wifi_tx_ms,ble_anchor_slot,ble_ci_slots,ble_ci_ms,ble_ce_slots,ble_ce_ms,ble_ce_feasible,effective_ble_channels,scheduled_ble_pairs,no_collision_probability,macrocycle_slots,occupied_slots_in_macrocycle
39,0,ble,26,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,16,20.000,6,7.500,true,NA,NA,NA,64,[]
40,0,wifi,5,1.000,0,63,0,0.000,NA,NA,0,0,32,40.000,8,10.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"[0, 1, 2, 3, 4, 5, 6, 7, 32, 33, 34, 35, 36, 37, 38, 39]"
41,0,ble,30,1.000,0,63,9,11.250,per_ce,"[30, 35]",0,NA,NA,NA,NA,NA,9,32,40.000,5,6.250,true,NA,NA,NA,64,"[9, 10, 11, 12, 13, 41, 42, 43, 44, 45]"
42,0,ble,2,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,8,10.000,5,6.250,true,NA,NA,NA,64,[]
43,0,ble,35,1.000,0,63,0,0.000,per_ce,[35],0,NA,NA,NA,NA,NA,0,64,80.000,5,6.250,true,NA,NA,NA,64,"[0, 1, 2, 3, 4]"
44,0,ble,35,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,8,10.000,5,6.250,true,NA,NA,NA,64,[]
45,0,ble,14,1.000,0,63,20,25.000,per_ce,[14],0,NA,NA,NA,NA,NA,20,64,80.000,4,5.000,true,NA,NA,NA,64,"[20, 21, 22, 23]"
46,0,wifi,5,1.000,0,63,8,10.000,NA,NA,0,8,32,40.000,6,7.500,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"[8, 9, 10, 11, 12, 13, 40, 41, 42, 43, 44, 45]"
47,0,wifi,0,1.000,0,63,0,0.000,NA,NA,0,0,32,40.000,7,8.750,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"[0, 1, 2, 3, 4, 5, 6, 32, 33, 34, 35, 36, 37, 38]"
48,0,ble,10,1.000,0,63,27,33.750,per_ce,"[10, 15]",0,NA,NA,NA,NA,NA,27,32,40.000,5,6.250,true,NA,NA,NA,64,"[27, 28, 29, 30, 31, 59, 60, 61, 62, 63]"
